timestamp_ist,platform,level,entity_name,old_status,new_status,action
2026-08-22T12:51:05+05:30,meta,ad_set,BHARAT_LUCKNOW_SPL_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Inactive,Active,STARTED
2026-08-25T23:05:47+05:30,meta,ad_set,BHARAT_LUCKNOW_AI_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA_250826,Inactive,Deleted,REMOVED
2026-08-25T23:06:46+05:30,meta,ad_set,BHARAT_LUCKNOW_AI_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Inactive,Active,STARTED
2026-08-25T23:07:03+05:30,meta,ad_set,BHARAT_LUCKNOW_SPL_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Active,Inactive,PAUSED
2026-08-29T22:23:03+05:30,meta,ad_set,BHARAT_MEERUT_AI_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Active,Inactive,PAUSED
2026-09-04T00:42:22+05:30,meta,ad_set,DEL_ALL_REACH_BROAD_LEARNMORE_WEBSITE_ABO_COLD-AWARENESS_RULE_NA,Active,Inactive,PAUSED
2026-09-07T16:57:54+05:30,meta,campaign,META_PR_MULTI_ABO_Aware_PM-AWARENESS_050626,Active,Inactive,PAUSED
2026-09-07T16:58:31+05:30,meta,campaign,META_CSP_ROHIT_AWARENESS_REACH_3WEEKLY_22APR,Active,Inactive,PAUSED
2026-09-07T17:10:33+05:30,meta,campaign,META_ACTIVECUSTOMERS_50MBPS_AWARENESS_REACH_2WEEKLY_23APR,Active,Inactive,PAUSED
2026-09-10T02:00:46+05:30,meta,ad_set,DEL_SCALE_BFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Inactive,Active,STARTED
2026-09-12T19:42:36+05:30,meta,ad_set,MUMBAI_CSP99_SPL_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Inactive,Active,STARTED
2026-09-15T17:29:17.106+05:30,google,campaign,GOOGLE_BA_DEL_SCALE_ABO_DEMANDGEN_RMKT_BFC-VOLUME_150926,,ENABLED,STARTED
2026-09-16T23:01:03+05:30,meta,ad_set,MUMBAI_CSP99_SPL_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Active,Inactive,PAUSED
2026-09-25T14:17:23+05:30,meta,ad_set,DEL_ALL_AI_L3_BROAD_BOOKNOW_APPSTORE_ABO_CREATIVE-TESTING_SEP26-T-141_NA,Inactive,Active,STARTED
2026-09-25T21:40:22+05:30,meta,ad_set,DEL_ALL_AI_L2_BROAD_BOOKNOW_APPSTORE_ABO_CREATIVE-TESTING_SEP26-T-143_NA,Inactive,Active,STARTED
2026-09-25T21:40:25+05:30,meta,ad_set,DEL_ALL_AI_L2_BROAD_BOOKNOW_APPSTORE_ABO_CREATIVE-TESTING_SEP26-T-142_NA,Inactive,Active,STARTED
2026-09-25T23:56:18+05:30,meta,ad_set,BHARAT_LUCKNOW_SPL_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Inactive,Active,STARTED
2026-09-25T23:58:22+05:30,meta,ad_set,BHARAT_LUCKNOW_AI_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Active,Inactive,PAUSED
