reco_date,concept_id,layer,need_state,bfc,spend,cpbfc,median_at_time,reason,ad_ids,action_taken,action_timing
2026-08-13,AUG26-C-114,L2,MCR,23,33943.67,1475.81,1145.8,"efficiency (> 1.0x median Rs1,146)",120251345778270343,No,
2026-08-13,JUN26-T-097,L2,SDN-EXM,4,5207.75,1301.94,1145.8,"aged-out (>7d, 4 BC, > 1.0x median Rs1,146)",120251173879810343,No,
2026-08-14,JUN26-T-097,L2,SDN-EXM,4,5245.96,1311.49,1119.02,"aged-out (>7d, 4 BC, > 1.0x median Rs1,119)",120251173879810343,Yes,Late
2026-08-15,AUG26-H-009,L2,MCR,0,3278.69,,1089.72,"aged-out (>7d, 0 BC, > 1.0x median Rs1,090)",120251255423140343,Yes,Late
2026-08-15,JUN26-T-064,L2,MCR,93,103237.93,1110.09,1089.72,"efficiency (> 1.0x median Rs1,090)",120250387734200343,No,
2026-08-16,JUN26-T-048,L3,L3-MULTI,41,55520.3,1354.15,1113.27,"efficiency (> 1.2x median Rs1,113)",120249258566750343,No,
2026-08-16,JUN26-T-064,L2,MCR,93,103874.48,1116.93,1113.27,"efficiency (> 1.0x median Rs1,113)",120250387734200343,No,
2026-08-17,JUN26-T-064,L2,MCR,95,104258.0,1097.45,1092.72,"efficiency (> 1.0x median Rs1,093)",120250387734200343,No,
2026-08-19,AUG26-C-114,L2,MCR,58,64874.63,1118.53,1062.72,"efficiency (> 1.0x median Rs1,063)",120251345778270343,No,
2026-08-20,AUG26-C-114,L2,MCR,61,68463.82,1122.36,1089.26,"efficiency (> 1.0x median Rs1,089)",120251345778270343,No,
2026-08-21,JUN26-T-021,L3,FAM,0,163.71,,1137.33,"aged-out (>7d, 0 BC, > 1.2x median Rs1,137)",120248999427850343,Yes,Late
2026-08-21,JUN26-C-038,L1,NET,0,112.0,,1137.33,"aged-out (>7d, 0 BC, > 1.0x median Rs1,137)",120249029006410343,Yes,Late
2026-08-21,AUG26-C-114,L2,MCR,62,71299.97,1150.0,1137.33,"efficiency (> 1.0x median Rs1,137)",120251345778270343,No,
2026-08-22,AUG26-C-116,L2,MCR,7,9778.43,1396.92,1171.53,"efficiency (> 1.0x median Rs1,172)",120251468732320343,No,
2026-08-23,AUG26-C-116,L2,MCR,7,11041.16,1577.31,1137.29,"efficiency (> 1.0x median Rs1,137)",120251468732320343,Yes,Late
